TF	M1	M2	M3	M4	M5	M6	M7
KLF5	0.00E+00	1.09E-01	1.88E-01	0.00E+00	0.00E+00	6.99E-01	0.00E+00
KLF7	0.00E+00	1.11E-01	2.31E-01	0.00E+00	0.00E+00	6.53E-01	0.00E+00
KLF9	7.63E-28	1.48E-15	0.00E+00	0.00E+00	0.00E+00	9.92E-01	3.15E-83
LBX2	7.20E-01	2.08E-74	0.00E+00	0.00E+00	2.75E-01	0.00E+00	0.00E+00
LEF1	4.07E-01	3.60E-01	0.00E+00	0.00E+00	1.17E-01	1.13E-01	0.00E+00
LHX2	0.00E+00	3.54E-41	0.00E+00	9.85E-01	0.00E+00	0.00E+00	0.00E+00
LHX3	5.31E-01	1.51E-96	3.39E-01	0.00E+00	1.26E-01	0.00E+00	0.00E+00
LHX4	0.00E+00	0.00E+00	9.90E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
LHX6	7.97E-01	3.60E-87	0.00E+00	0.00E+00	1.98E-01	0.00E+00	0.00E+00
LHX9	0.00E+00	8.01E-01	0.00E+00	0.00E+00	0.00E+00	1.94E-01	1.55E-62
LMO2	3.53E-01	0.00E+00	0.00E+00	0.00E+00	6.39E-01	8.11E-68	2.27E-11
LMX1A	0.00E+00	0.00E+00	9.90E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
LYL1	5.27E-01	0.00E+00	0.00E+00	1.37E-01	3.31E-01	0.00E+00	3.19E-04
MAF	9.74E-05	1.87E-01	5.22E-01	0.00E+00	0.00E+00	2.87E-01	0.00E+00
MAFB	0.00E+00	0.00E+00	4.29E-01	0.00E+00	0.00E+00	3.74E-23	5.66E-01
MAFF	9.59E-10	3.97E-01	0.00E+00	3.52E-01	0.00E+00	2.48E-01	0.00E+00
MAFG	6.47E-01	9.01E-74	0.00E+00	0.00E+00	3.48E-01	0.00E+00	0.00E+00
MAFK	3.65E-170	1.81E-02	5.84E-01	3.93E-01	0.00E+00	0.00E+00	0.00E+00
MAX	0.00E+00	0.00E+00	0.00E+00	7.10E-01	2.63E-01	0.00E+00	1.89E-02
MEF2A	1.80E-26	5.97E-01	2.83E-02	2.02E-01	0.00E+00	1.38E-01	2.63E-02
MEF2C	5.99E-01	1.93E-49	0.00E+00	2.21E-01	1.69E-01	0.00E+00	7.28E-04
MEF2D	2.02E-25	6.33E-01	0.00E+00	2.11E-01	0.00E+00	1.47E-01	1.58E-08
MEIS1	1.58E-22	4.15E-01	1.51E-99	0.00E+00	0.00E+00	5.79E-01	0.00E+00
MEIS2	0.00E+00	2.49E-01	9.98E-113	0.00E+00	3.80E-01	3.67E-01	0.00E+00
MEIS3	0.00E+00	2.31E-01	4.14E-01	0.00E+00	0.00E+00	3.51E-01	0.00E+00
MEOX1	0.00E+00	3.45E-38	0.00E+00	9.85E-01	0.00E+00	0.00E+00	0.00E+00
MGA	0.00E+00	2.57E-46	2.51E-01	0.00E+00	4.66E-01	0.00E+00	2.78E-01
MITF	1.47E-01	8.47E-02	0.00E+00	0.00E+00	4.02E-01	3.62E-01	3.42E-20
MLX	1.03E-02	3.33E-02	1.94E-01	2.75E-02	2.99E-02	2.82E-01	4.20E-01
MLXIP	1.06E-01	4.01E-10	6.64E-02	0.00E+00	5.37E-01	6.93E-02	2.13E-01
MLXIPL	3.07E-01	0.00E+00	0.00E+00	0.00E+00	6.79E-01	0.00E+00	2.31E-03
MNT	0.00E+00	2.34E-12	7.60E-02	3.11E-01	0.00E+00	3.38E-01	2.70E-01
MNX1	8.04E-01	1.15E-88	0.00E+00	0.00E+00	1.90E-01	0.00E+00	0.00E+00
MSC	0.00E+00	8.55E-02	0.00E+00	5.19E-01	0.00E+00	3.86E-01	2.67E-03
MSX1	0.00E+00	4.38E-01	7.39E-106	0.00E+00	3.19E-01	2.40E-01	0.00E+00
MTF1	1.40E-01	3.68E-01	1.79E-02	5.05E-02	1.13E-01	2.79E-01	2.61E-02
MXD1	1.76E-01	0.00E+00	0.00E+00	2.85E-01	5.22E-01	0.00E+00	9.93E-03
MXD4	0.00E+00	1.50E-11	0.00E+00	4.46E-01	0.00E+00	5.00E-01	4.81E-02
MXI1	0.00E+00	0.00E+00	1.72E-01	0.00E+00	3.25E-01	0.00E+00	4.98E-01
MYB	4.57E-01	0.00E+00	0.00E+00	2.29E-02	5.15E-01	0.00E+00	3.87E-08
MYBL1	0.00E+00	3.34E-01	1.33E-104	0.00E+00	0.00E+00	6.60E-01	0.00E+00
MYBL2	0.00E+00	1.73E-63	2.87E-01	0.00E+00	3.25E-01	0.00E+00	3.85E-01
MYC	3.07E-01	0.00E+00	1.66E-02	3.69E-01	2.76E-01	0.00E+00	2.88E-02
MYCN	5.29E-12	7.50E-02	1.37E-01	0.00E+00	3.24E-82	1.59E-01	6.16E-01
MZF1	0.00E+00	0.00E+00	2.58E-153	8.08E-224	9.91E-01	4.39E-68	1.67E-06
NANOG	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
NEUROG2	0.00E+00	3.89E-59	0.00E+00	9.90E-01	0.00E+00	0.00E+00	0.00E+00
NFAT5	0.00E+00	6.21E-01	0.00E+00	1.08E-01	0.00E+00	2.62E-01	2.88E-19
NFATC1	4.63E-01	1.17E-63	0.00E+00	2.99E-01	2.31E-01	0.00E+00	1.53E-03
NFATC2	0.00E+00	7.09E-01	0.00E+00	0.00E+00	0.00E+00	2.84E-01	3.08E-69
NFATC3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
NFATC4	0.00E+00	6.98E-01	0.00E+00	0.00E+00	0.00E+00	2.95E-01	1.89E-73
NFE2	8.63E-01	0.00E+00	0.00E+00	0.00E+00	1.31E-01	0.00E+00	0.00E+00
NFE2L1	2.19E-01	9.21E-02	1.13E-101	2.89E-01	3.95E-01	0.00E+00	0.00E+00
NFE2L2	2.88E-01	1.01E-01	0.00E+00	0.00E+00	3.02E-01	3.05E-01	0.00E+00
NFE2L3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
NFIA	0.00E+00	0.00E+00	8.48E-153	9.94E-225	9.91E-01	1.18E-69	1.90E-11
NFIB	0.00E+00	6.81E-91	2.57E-01	2.81E-01	6.78E-02	5.88E-04	3.91E-01
NFIC	0.00E+00	2.53E-01	1.30E-01	3.99E-02	0.00E+00	5.72E-01	0.00E+00
NFIL3	3.79E-01	5.05E-01	0.00E+00	0.00E+00	1.12E-01	0.00E+00	1.79E-04
NFIX	0.00E+00	1.92E-01	9.58E-94	3.54E-01	0.00E+00	4.51E-01	0.00E+00
NFKB1	4.02E-02	4.54E-02	0.00E+00	6.34E-01	0.00E+00	2.64E-01	6.29E-03
NFKB2	0.00E+00	0.00E+00	8.35E-02	5.99E-01	0.00E+00	2.43E-03	2.98E-01
NFYA	0.00E+00	9.73E-02	5.29E-02	1.67E-01	1.82E-01	4.02E-01	9.34E-02
NFYB	0.00E+00	4.80E-02	2.35E-01	1.53E-01	0.00E+00	1.84E-01	3.75E-01
NPAS2	1.17E-11	4.75E-07	0.00E+00	0.00E+00	0.00E+00	9.88E-01	4.99E-67
NR1D1	0.00E+00	2.04E-01	0.00E+00	9.58E-243	0.00E+00	7.86E-01	4.00E-80
NR1H2	0.00E+00	3.20E-41	8.48E-198	4.96E-01	4.91E-01	8.87E-15	6.56E-03
NR1H3	2.81E-02	1.32E-01	2.07E-01	6.79E-259	6.52E-02	2.63E-01	3.01E-01
NR2C2	0.00E+00	0.00E+00	2.23E-01	1.14E-242	4.29E-01	7.52E-54	3.45E-01
NR2F1	0.00E+00	1.57E-01	0.00E+00	0.00E+00	0.00E+00	8.36E-01	0.00E+00
NR2F2	0.00E+00	9.03E-02	1.83E-127	2.33E-02	3.99E-01	4.84E-01	5.41E-21
NR2F6	0.00E+00	0.00E+00	2.63E-01	5.61E-249	3.25E-01	2.74E-49	4.10E-01
NR3C1	4.22E-18	1.30E-01	0.00E+00	6.86E-01	0.00E+00	1.78E-01	0.00E+00
NR3C2	0.00E+00	0.00E+00	9.93E-01	1.06E-169	0.00E+00	0.00E+00	0.00E+00
